"","GOterm","ParentTerm","Factor","term","bh_adjust_Up","bh_adjust_Down","bh_adjust_Biomin"
"598","GO:0016358","cilium assembly","Down, Up","dendrite development",9.99836344355267e-19,1.06421301110978e-16,NA
"599","GO:0016441","regulation of DNA-templated transcription","Down, Up","post-transcriptional gene silencing",1.4587796132333e-07,3.66119636265623e-07,NA
"600","GO:0016477","regulation of cell migration","Down, Up, Biomin","cell migration",1.9925994901225e-67,1.20362235854091e-54,9.96617622960544e-06
"601","GO:0016482","protein import into nucleus","Down, Up","cytosolic transport",2.60106909118545e-17,7.89111626366841e-13,NA
"602","GO:0016485","protein processing","Down, Up","protein processing",3.54566434760569e-12,3.78037392760086e-11,NA
"603","GO:0016525","nervous system development","Up","negative regulation of angiogenesis",4.41312647994878e-06,NA,NA
"604","GO:0016567","protein ubiquitination","Down, Up","protein ubiquitination",1.96604149655711e-29,7.85518440717323e-33,NA
"605","GO:0016570","peptidyl-serine phosphorylation","Down, Up","histone modification",9.96564214135087e-25,5.99487077963933e-30,NA
"606","GO:0016571","protein ubiquitination","Down","histone methylation",NA,9.30679113430642e-07,NA
"607","GO:0016573","peptidyl-serine phosphorylation","Down, Up","histone acetylation",1.21108064237705e-08,3.27513810202831e-14,NA
"608","GO:0016579","protein ubiquitination","Down, Up","protein deubiquitination",3.97309216842637e-17,6.37947525381664e-23,NA
"609","GO:0017015","fibroblast growth factor receptor signaling pathway","Down, Up","regulation of transforming growth factor beta receptor signaling pathway",1.3931811110415e-07,3.37672643635127e-06,NA
"610","GO:0017145","cell division","Down, Up","stem cell division",2.06602725402343e-14,1.40425857598785e-08,NA
"611","GO:0017148","translational initiation","Down, Up","negative regulation of translation",1.59921325551548e-11,1.58648408551506e-10,NA
"612","GO:0017156","exocytosis","Down, Up","calcium-ion regulated exocytosis",6.40231231195333e-08,4.6473548686884e-09,NA
"613","GO:0017157","exocytosis","Down, Up","regulation of exocytosis",3.83152135691806e-10,6.05495831689149e-12,NA
"614","GO:0017158","exocytosis","Down","regulation of calcium ion-dependent exocytosis",NA,1.62926747099089e-07,NA
"615","GO:0018022","protein ubiquitination","Down","peptidyl-lysine methylation",NA,1.68374544689258e-07,NA
"616","GO:0018105","peptidyl-serine phosphorylation","Down, Up","peptidyl-serine phosphorylation",1.08439896846527e-15,3.0184740436517e-09,NA
"617","GO:0018107","peptidyl-serine phosphorylation","Up","peptidyl-threonine phosphorylation",9.36711129640401e-11,NA,NA
"618","GO:0018108","peptidyl-serine phosphorylation","Down, Up","peptidyl-tyrosine phosphorylation",3.52080924561953e-09,4.97826976201851e-07,NA
"619","GO:0018130","regulation of transcription by RNA polymerase II","Down, Up","heterocycle biosynthetic process",3.4499589235719e-79,1.27280114231105e-94,NA
"620","GO:0018193","peptidyl-serine phosphorylation","Down, Up","peptidyl-amino acid modification",1.38020245887117e-55,2.62397959881708e-62,NA
"621","GO:0018205","peptidyl-serine phosphorylation","Down, Up","peptidyl-lysine modification",6.54112583432261e-16,9.97137495901858e-26,NA
"622","GO:0018209","peptidyl-serine phosphorylation","Down, Up","peptidyl-serine modification",5.14638613080037e-16,3.31744925283935e-11,NA
"623","GO:0018210","peptidyl-serine phosphorylation","Up","peptidyl-threonine modification",9.36711129640401e-11,NA,NA
"624","GO:0018212","peptidyl-serine phosphorylation","Down, Up","peptidyl-tyrosine modification",3.52080924561953e-09,4.97826976201851e-07,NA
"625","GO:0018393","peptidyl-serine phosphorylation","Down, Up","internal peptidyl-lysine acetylation",5.79781193553782e-09,3.27513810202831e-14,NA
"626","GO:0018394","peptidyl-serine phosphorylation","Down, Up","peptidyl-lysine acetylation",5.79781193553782e-09,1.11312951273833e-14,NA
"627","GO:0018958","alcohol metabolic process","Down, Up","phenol-containing compound metabolic process",1.34334674805763e-08,5.02815456611005e-06,NA
"628","GO:0018991","reproduction","Down, Up","oviposition",1.28928844858887e-06,9.69771892383406e-07,NA
"629","GO:0019058","viral life cycle","Up","viral life cycle",1.88650587190699e-11,NA,NA
"630","GO:0019098","reproduction","Down, Up","reproductive behavior",2.11781461298025e-12,6.49856519697327e-14,NA
"631","GO:0019216","lipid metabolic process","Down, Up","regulation of lipid metabolic process",1.19456161721088e-28,1.36530069131554e-17,NA
"632","GO:0019218","lipid metabolic process","Up","regulation of steroid metabolic process",3.60436245136506e-09,NA,NA
"633","GO:0019219","regulation of DNA-templated transcription","Down, Up","regulation of nucleobase-containing compound metabolic process",1.30561051855759e-203,7.03718620642151e-189,NA
"634","GO:0019220","protein phosphorylation","Down, Up","regulation of phosphate metabolic process",1.23303292097529e-92,8.47465846432429e-78,NA
"635","GO:0019221","IRE1-mediated unfolded protein response","Down, Up","cytokine-mediated signaling pathway",3.13427150560944e-21,1.29698045516508e-15,NA
"636","GO:0019222","regulation of DNA-templated transcription","Down, Up, Biomin","regulation of metabolic process",0,0,1.27766965936174e-09
"637","GO:0019233","sensory perception of chemical stimulus","Down","sensory perception of pain",NA,2.19281362344433e-09,NA
"638","GO:0019318","carbohydrate metabolic process","Down, Up","hexose metabolic process",2.83643998266939e-09,4.29274524761946e-10,NA
"639","GO:0019362","NAD metabolic process","Down, Up","pyridine nucleotide metabolic process",5.69392142600941e-06,1.0187010248924e-09,NA
"640","GO:0019395","lipid metabolic process","Up","fatty acid oxidation",5.68582919235153e-06,NA,NA
"641","GO:0019438","regulation of transcription by RNA polymerase II","Down, Up","aromatic compound biosynthetic process",7.66720740085385e-79,3.78358878493882e-95,NA
"642","GO:0019439","ubiquitin-dependent protein catabolic process","Down, Up","aromatic compound catabolic process",1.07485576988601e-26,4.14074057969346e-54,NA
"643","GO:0019538","metabolic process","Down, Up, Biomin","protein metabolic process",9.9339540274219e-244,7.10672460561614e-278,0
"644","GO:0019637","protein dephosphorylation","Down, Up","organophosphate metabolic process",1.94002075094628e-60,6.17327396805007e-69,NA
"645","GO:0019674","NAD metabolic process","Down","NAD metabolic process",NA,8.45089428106714e-07,NA
"646","GO:0019693","nucleoside metabolic process","Down, Up","ribose phosphate metabolic process",1.66891882536146e-26,9.50479886474054e-40,NA
"647","GO:0019722","intracellular signal transduction","Down, Up","calcium-mediated signaling",5.8890490566201e-07,3.80718116501052e-08,NA
"648","GO:0019725","intracellular calcium ion homeostasis","Down, Up, Biomin","cellular homeostasis",3.85603263475699e-52,1.95987531381487e-43,0
"649","GO:0019730","innate immune response","Down","antimicrobial humoral response",NA,1.87279679824949e-07,NA
"650","GO:0019748","secondary metabolic process","Down, Up","secondary metabolic process",2.46814966504176e-08,7.43214797060222e-07,NA
"651","GO:0019752","fatty acid metabolic process","Down, Up","carboxylic acid metabolic process",1.20493119447603e-53,2.08654771010831e-57,NA
"652","GO:0019827","germ-line stem cell population maintenance","Down, Up","stem cell population maintenance",9.0430175859177e-22,2.31639321611186e-15,NA
"653","GO:0019882","innate immune response","Down, Up","antigen processing and presentation",1.66603189792736e-14,2.85361397009508e-07,NA
"654","GO:0019932","intracellular signal transduction","Down, Up","second-messenger-mediated signaling",3.34064725369339e-12,3.85450628156135e-12,NA
"655","GO:0019941","ubiquitin-dependent protein catabolic process","Down, Up","modification-dependent protein catabolic process",1.64475913099603e-33,1.03305461041235e-33,NA
"656","GO:0019953","reproduction","Down, Up, Biomin","sexual reproduction",1.85613062801684e-115,7.05082435006541e-111,4.54290705847293e-06
"657","GO:0021675","nervous system development","Down","nerve development",NA,8.75053286448284e-06,NA
"658","GO:0021700","neuron remodeling","Down, Up","developmental maturation",1.68490466512215e-32,4.55975099798624e-26,NA
"659","GO:0021782","nervous system development","Up","glial cell development",7.54822257938362e-09,NA,NA
"660","GO:0022008","nervous system development","Down, Up, Biomin","neurogenesis",2.33113830015001e-145,4.99485600201442e-117,4.37359367155759e-12
"661","GO:0022402","cell cycle","Down, Up","cell cycle process",1.22855604593637e-84,1.80495133679686e-80,NA
"662","GO:0022404","molting cycle","Down, Up","molting cycle process",1.80293025406143e-09,4.14457169642201e-06,NA
"663","GO:0022406","organelle localization by membrane tethering","Down, Up","membrane docking",7.96093146924437e-12,2.45777895664238e-08,NA
"664","GO:0022407","cell adhesion","Down, Up","regulation of cell-cell adhesion",1.00148612023311e-19,1.21214709902838e-13,NA
"665","GO:0022409","cell adhesion","Down, Up","positive regulation of cell-cell adhesion",1.40650470229312e-11,1.12857174993679e-07,NA
"666","GO:0022411","translational termination","Down, Up","cellular component disassembly",8.52330404892843e-32,6.26210267975441e-33,NA
"667","GO:0022412","reproduction","Down, Up","cellular process involved in reproduction in multicellular organism",7.10616714969065e-89,4.45304912423644e-81,NA
"668","GO:0022414","reproduction","Down, Up, Biomin","reproductive process",1.11165880455375e-154,3.5187461546944e-147,1.28678866434746e-09
"669","GO:0022603","anatomical structure morphogenesis","Down, Up","regulation of anatomical structure morphogenesis",1.26150151724553e-67,2.7823580981475e-60,NA
"670","GO:0022604","anatomical structure morphogenesis","Down, Up","regulation of cell morphogenesis",2.16554792476795e-39,2.27342535725991e-32,NA
"671","GO:0022607","ribosome biogenesis","Down, Up, Biomin","cellular component assembly",3.94301605413001e-185,8.32651217695373e-174,7.20753874192697e-08
"672","GO:0022612","vulval development","Down, Up","gland morphogenesis",1.55254358568733e-14,8.02925581753623e-14,NA
"673","GO:0022613","ribosome biogenesis","Down, Up","ribonucleoprotein complex biogenesis",3.10291771416329e-40,7.64615525088936e-56,NA
"674","GO:0022618","protein homooligomerization","Down, Up","ribonucleoprotein complex assembly",4.30482276392775e-20,1.45144793580573e-30,NA
"675","GO:0022898","regulation of catalytic activity","Down, Up","regulation of transmembrane transporter activity",7.96917135244656e-10,1.59524711125618e-10,NA
"676","GO:0022900","mitochondrial electron transport, NADH to ubiquinone","Down, Up","electron transport chain",2.92715175130637e-10,1.09079452349138e-18,NA
"677","GO:0022904","mitochondrial electron transport, NADH to ubiquinone","Down, Up","respiratory electron transport chain",2.12418481762683e-06,8.50053450308893e-14,NA
"678","GO:0023051","G protein-coupled receptor signaling pathway","Down, Up, Biomin","regulation of signaling",1.31496834045947e-202,9.7846982843264e-160,2.72550386948378e-12
"679","GO:0023052","G protein-coupled receptor signaling pathway","Down, Up, Biomin","signaling",4.72711958910209e-212,8.13715199245142e-187,0
"680","GO:0023056","G protein-coupled receptor signaling pathway","Down, Up, Biomin","positive regulation of signaling",2.31041521780354e-100,1.72215609875729e-87,4.54290705847293e-06
"681","GO:0023057","G protein-coupled receptor signaling pathway","Down, Up","negative regulation of signaling",1.69799371454834e-92,8.37211086613635e-75,NA
"682","GO:0023061","exocytosis","Down, Up","signal release",3.54534920525466e-15,2.7212875570181e-15,NA
"683","GO:0030001","monoatomic ion transport","Down, Up, Biomin","metal ion transport",2.78226652768296e-24,1.08606201269245e-24,8.85166782172125e-10
"684","GO:0030003","intracellular calcium ion homeostasis","Down, Up, Biomin","intracellular monoatomic cation homeostasis",6.46962558242863e-32,4.47520005912526e-23,0
"685","GO:0030010","establishment or maintenance of cell polarity","Down, Up, Biomin","establishment of cell polarity",1.85608410323672e-15,2.78451347362097e-09,7.45681143299223e-06
"686","GO:0030029","actin cytoskeleton organization","Down, Up, Biomin","actin filament-based process",2.80033556496088e-39,1.89993992716198e-42,6.90605138278327e-06
"687","GO:0030030","cilium assembly","Down, Up, Biomin","cell projection organization",3.25047629610063e-106,4.20170962123819e-87,1.12228027176763e-09
"688","GO:0030031","cilium assembly","Down, Up","cell projection assembly",1.64376315680593e-40,3.03803884759915e-32,NA
"689","GO:0030036","actin cytoskeleton organization","Down, Up","actin cytoskeleton organization",3.58020570975552e-33,3.04938991418756e-38,NA
"690","GO:0030048","actin cytoskeleton organization","Down, Up","actin filament-based movement",4.36756386178361e-09,7.90003917635155e-07,NA
"691","GO:0030097","positive regulation of leukocyte differentiation","Down, Up","hemopoiesis",6.27217151100485e-43,1.66946404925399e-35,NA
"692","GO:0030098","cell activation","Down, Up","lymphocyte differentiation",1.75330231340942e-14,1.98175313536357e-12,NA
"693","GO:0030100","regulation of protein localization","Down, Up","regulation of endocytosis",5.13713164770884e-25,4.6628824771961e-17,NA
"694","GO:0030111","chemical synaptic transmission","Down, Up","regulation of Wnt signaling pathway",1.30244155458954e-27,3.68109397545016e-22,NA
